"unitid","coltype"
"485500","ccc"
"108807","ccc"
"108852","ccc"
"441052","ccc"
"109040","ccc"
"447768","ccc"
"422835","ccc"
"109208","ccc"
"447777","ccc"
"444361","ccc"
"109907","ccc"
"125170","ccc"
"110246","ccc"
"110334","ccc"
"447713","ccc"
"481386","ccc"
"488563","ccc"
"495271","ccc"
"111434","ccc"
"446118","ccc"
"485467","ccc"
"450702","ccc"
"467368","ccc"
"438258","ccc"
"125532","ccc"
"437936","ccc"
"246974","ccc"
"450696","ccc"
"378105","ccc"
"111887","ccc"
"111896","ccc"
"111920","ccc"
"111939","ccc"
"112172","ccc"
"112190","ccc"
"489201","ccc"
"112376","ccc"
"112385","ccc"
"108667","ccc"
"118347","ccc"
"122791","ccc"
"111461","ccc"
"113573","ccc"
"121707","ccc"
"123217","ccc"
"123484","ccc"
"112561","ccc"
"446163","ccc"
"112686","ccc"
"123679","ccc"
"124937","ccc"
"124706","ccc"
"120661","ccc"
"112826","ccc"
"112817","ccc"
"491950","ccc"
"395362","ccc"
"113096","ccc"
"113111","ccc"
"113193","ccc"
"113218","ccc"
"113333","ccc"
"113634","ccc"
"113856","ccc"
"113980","ccc"
"114266","ccc"
"444219","ccc"
"114789","ccc"
"114859","ccc"
"461254","ccc"
"114938","ccc"
"497338","ccc"
"115001","ccc"
"115126","ccc"
"115296","ccc"
"115287","ccc"
"383084","ccc"
"115393","ccc"
"450960","ccc"
"484002","ccc"
"491659","ccc"
"115861","ccc"
"115931","ccc"
"493080","ccc"
"431141","ccc"
"443571","ccc"
"116439","ccc"
"117195","ccc"
"117247","ccc"
"366401","ccc"
"117274","ccc"
"117645","ccc"
"117788","ccc"
"117803","ccc"
"117690","ccc"
"117867","ccc"
"400558","ccc"
"117706","ccc"
"117715","ccc"
"117724","ccc"
"117733","ccc"
"117894","ccc"
"117900","ccc"
"497046","ccc"
"454698","ccc"
"118684","ccc"
"118718","ccc"
"118772","ccc"
"118930","ccc"
"119067","ccc"
"119137","ccc"
"460394","ccc"
"119164","ccc"
"119216","ccc"
"118198","ccc"
"119331","ccc"
"455868","ccc"
"447759","ccc"
"460464","ccc"
"484367","ccc"
"484376","ccc"
"445364","ccc"
"120078","ccc"
"120290","ccc"
"120342","ccc"
"120421","ccc"
"120953","ccc"
"120971","ccc"
"121044","ccc"
"121178","ccc"
"434140","ccc"
"492449","ccc"
"121363","ccc"
"416458","ccc"
"437750","ccc"
"117052","ccc"
"490197","ccc"
"121901","ccc"
"122180","ccc"
"122205","ccc"
"428426","ccc"
"123527","ccc"
"122339","ccc"
"122384","ccc"
"486372","ccc"
"122658","ccc"
"122694","ccc"
"262457","ccc"
"456852","ccc"
"481775","ccc"
"447351","ccc"
"442444","ccc"
"448372","ccc"
"495952","ccc"
"495961","ccc"
"475176","ccc"
"422020","ccc"
"122746","ccc"
"122737","ccc"
"122889","ccc"
"123013","ccc"
"399212","ccc"
"123341","ccc"
"123642","ccc"
"432144","ccc"
"123800","ccc"
"413680","ccc"
"496654","ccc"
"123925","ccc"
"124113","ccc"
"486123","ccc"
"393649","ccc"
"438504","ccc"
"448433","ccc"
"487597","ccc"
"449445","ccc"
"125028","ccc"
"125019","ccc"
"125091","ccc"
"125462","ccc"
"448594","ccc"
"448637","ccc"
"125499","ccc"
"125222","ccc"
"455512","ccc"
"481289","ccc"
"493619","ccc"
"126119","ccc"
